orbit_altitude_km,ground_station_count,atmospheric_index,is_polar_orbit,signal_delay_ms
48428.9,5,3.9,0,544.25
31051.0,1,3.1,1,230.46
48269.1,8,3.2,1,437.82
48732.1,9,5.7,1,742.97
43833.2,10,6.6,1,740.23
66671.0,3,9.6,0,900.0
20242.0,5,7.2,0,548.27
35876.0,10,4.8,1,556.98
22772.8,9,10.0,0,791.37
31782.7,9,6.2,0,633.58
65970.9,2,3.0,0,558.66
48565.2,6,9.2,1,720.74
44388.6,5,4.9,0,564.8
19251.5,1,8.6,0,438.75
64882.7,1,6.5,0,697.37
34108.3,6,8.9,0,682.52
34294.3,2,5.1,0,520.34
70067.8,9,8.5,1,869.84
47690.3,10,8.9,1,877.01
56619.3,9,6.1,0,874.03
